production_process,raw_material,process_stage,material_category,production_quantity,material_quantity,waste_type
Continuous Casting,Alloy Additives,Finishing,Coating Material,77.55,84.59,Mill Scale
Finishing & Grinding,Scrap Steel,Refining,Fuel/Reductant,95.27,84.38,Mill Scale
Hot Rolling,Limestone,Melting,Flux Material,86.57,79.23,Mill Scale
Continuous Casting,Zinc Coating Material,Finishing,Ferrous Metal,76.19,67.0,Mill Scale
Galvanizing,Scrap Steel,Coating,Fuel/Reductant,71.97,92.4,Pickling Sludge
Continuous Casting,Limestone,Coating,Fuel/Reductant,100.91,61.13,Mill Scale
Galvanizing,Alloy Additives,Finishing,Non-Ferrous Metal,57.72,71.58,Zinc Ash
Electric Arc Furnace,Limestone,Casting,Flux Material,80.07,62.54,Refractory Waste
Cold Rolling,Zinc Coating Material,Refining,Ferrous Metal,160.07,162.09,Steel Scrap
Electric Arc Furnace,Alloy Additives,Casting,Ferrous Metal,68.6,71.78,Steel Scrap
Electric Arc Furnace,Alloy Additives,Rolling,Non-Ferrous Metal,117.22,86.68,EAF Dust
Finishing & Grinding,Limestone,Rolling,Ferrous Metal,54.77,61.18,Pickling Sludge
Hot Rolling,Scrap Steel,Refining,Non-Ferrous Metal,62.42,40.18,Mill Scale
Continuous Casting,Scrap Steel,Finishing,Coating Material,57.55,64.05,Refractory Waste
Basic Oxygen Furnace,Scrap Steel,Melting,Fuel/Reductant,156.69,198.38,Refractory Waste
Cold Rolling,Alloy Additives,Finishing,Coating Material,125.81,146.39,Mill Scale
Finishing & Grinding,Zinc Coating Material,Coating,Flux Material,44.16,49.46,Pickling Sludge
Cold Rolling,Coke,Casting,Fuel/Reductant,92.6,89.36,Steel Scrap
Basic Oxygen Furnace,Coke,Rolling,Non-Ferrous Metal,78.56,79.28,Blast Furnace Slag
Galvanizing,Alloy Additives,Rolling,Coating Material,64.74,51.03,Zinc Ash
Electric Arc Furnace,Scrap Steel,Coating,Coating Material,117.34,135.08,Waste Gas Sludge
Cold Rolling,Limestone,Coating,Flux Material,75.73,78.85,Pickling Sludge
Galvanizing,Iron Ore,Coating,Coating Material,118.25,107.58,Zinc Ash
Finishing & Grinding,Limestone,Refining,Coating Material,53.6,67.29,Steel Scrap
Hot Rolling,Scrap Steel,Melting,Ferrous Metal,69.02,55.96,Mill Scale
Hot Rolling,Alloy Additives,Rolling,Fuel/Reductant,36.1,23.08,Mill Scale
Hot Rolling,Scrap Steel,Finishing,Non-Ferrous Metal,116.58,132.33,Steel Scrap
Basic Oxygen Furnace,Coke,Casting,Coating Material,84.41,89.36,Steel Scrap
Basic Oxygen Furnace,Zinc Coating Material,Casting,Flux Material,62.4,40.52,Blast Furnace Slag
Electric Arc Furnace,Iron Ore,Refining,Flux Material,68.6,73.06,Refractory Waste
Finishing & Grinding,Limestone,Melting,Non-Ferrous Metal,89.94,60.92,Steel Scrap
Galvanizing,Limestone,Rolling,Ferrous Metal,91.03,74.36,Pickling Sludge
Galvanizing,Alloy Additives,Coating,Ferrous Metal,88.61,75.3,Zinc Ash
Galvanizing,Scrap Steel,Refining,Flux Material,38.44,45.36,Pickling Sludge
Forging,Zinc Coating Material,Coating,Non-Ferrous Metal,63.31,80.21,Steel Scrap
Basic Oxygen Furnace,Coke,Finishing,Flux Material,126.2,107.03,Waste Gas Sludge
Basic Oxygen Furnace,Limestone,Refining,Flux Material,112.85,75.81,Blast Furnace Slag
Hot Rolling,Alloy Additives,Casting,Non-Ferrous Metal,85.32,84.24,Mill Scale
Hot Rolling,Scrap Steel,Rolling,Coating Material,44.15,47.41,Mill Scale
Continuous Casting,Iron Ore,Casting,Fuel/Reductant,85.51,102.71,Refractory Waste
Galvanizing,Iron Ore,Melting,Coating Material,71.84,51.17,Pickling Sludge
Electric Arc Furnace,Limestone,Rolling,Coating Material,155.4,112.74,EAF Dust
Electric Arc Furnace,Zinc Coating Material,Coating,Ferrous Metal,53.09,38.0,EAF Dust
Basic Oxygen Furnace,Alloy Additives,Finishing,Flux Material,114.42,126.22,Blast Furnace Slag
Hot Rolling,Coke,Refining,Non-Ferrous Metal,89.07,58.65,Mill Scale
Finishing & Grinding,Zinc Coating Material,Melting,Flux Material,163.75,117.25,Steel Scrap
Electric Arc Furnace,Alloy Additives,Coating,Coating Material,75.36,50.77,EAF Dust
Galvanizing,Coke,Refining,Flux Material,101.1,97.41,Pickling Sludge
Cold Rolling,Alloy Additives,Casting,Coating Material,43.76,38.23,Pickling Sludge
Finishing & Grinding,Zinc Coating Material,Melting,Ferrous Metal,108.27,81.6,Steel Scrap
Forging,Iron Ore,Finishing,Coating Material,89.08,79.37,Refractory Waste
Finishing & Grinding,Alloy Additives,Casting,Flux Material,101.9,99.72,Steel Scrap
Basic Oxygen Furnace,Limestone,Coating,Non-Ferrous Metal,129.97,123.48,Blast Furnace Slag
Finishing & Grinding,Scrap Steel,Rolling,Flux Material,128.52,155.43,Mill Scale
Finishing & Grinding,Limestone,Refining,Non-Ferrous Metal,106.14,108.68,Steel Scrap
Cold Rolling,Coke,Rolling,Non-Ferrous Metal,191.42,160.04,Mill Scale
Galvanizing,Limestone,Rolling,Ferrous Metal,101.44,88.69,Zinc Ash
Finishing & Grinding,Limestone,Refining,Flux Material,59.34,44.09,Mill Scale
Continuous Casting,Alloy Additives,Melting,Fuel/Reductant,20.66,23.86,Refractory Waste
Galvanizing,Alloy Additives,Finishing,Ferrous Metal,94.61,88.17,Pickling Sludge
Forging,Alloy Additives,Rolling,Non-Ferrous Metal,179.96,139.88,Mill Scale
Finishing & Grinding,Limestone,Melting,Flux Material,124.02,137.22,Steel Scrap
Forging,Limestone,Coating,Flux Material,137.63,163.82,Steel Scrap
Basic Oxygen Furnace,Zinc Coating Material,Finishing,Coating Material,89.8,74.85,Waste Gas Sludge
Finishing & Grinding,Coke,Coating,Ferrous Metal,76.75,91.98,Pickling Sludge
Forging,Scrap Steel,Coating,Ferrous Metal,146.98,136.16,Mill Scale
Forging,Coke,Rolling,Ferrous Metal,78.58,96.75,Steel Scrap
Electric Arc Furnace,Iron Ore,Finishing,Non-Ferrous Metal,62.43,40.38,Steel Scrap
Finishing & Grinding,Iron Ore,Refining,Flux Material,75.53,96.5,Steel Scrap
Cold Rolling,Limestone,Finishing,Flux Material,123.21,129.84,Steel Scrap
Forging,Iron Ore,Casting,Ferrous Metal,78.26,70.7,Steel Scrap
Electric Arc Furnace,Scrap Steel,Finishing,Coating Material,63.45,62.9,Refractory Waste
Cold Rolling,Scrap Steel,Refining,Fuel/Reductant,52.03,44.79,Mill Scale
Galvanizing,Zinc Coating Material,Rolling,Fuel/Reductant,62.7,53.84,Zinc Ash
Continuous Casting,Limestone,Refining,Non-Ferrous Metal,164.7,180.53,Steel Scrap
Galvanizing,Limestone,Refining,Flux Material,75.3,56.65,Waste Gas Sludge
Continuous Casting,Scrap Steel,Melting,Ferrous Metal,77.76,90.45,Mill Scale
Forging,Iron Ore,Melting,Non-Ferrous Metal,184.8,181.82,Mill Scale
Finishing & Grinding,Zinc Coating Material,Coating,Fuel/Reductant,145.26,168.81,Mill Scale
Forging,Alloy Additives,Rolling,Fuel/Reductant,100.68,70.3,Steel Scrap
Electric Arc Furnace,Alloy Additives,Rolling,Non-Ferrous Metal,129.42,93.04,Refractory Waste
Galvanizing,Scrap Steel,Melting,Coating Material,151.97,185.9,Zinc Ash
Finishing & Grinding,Zinc Coating Material,Melting,Non-Ferrous Metal,98.36,100.13,Mill Scale
Cold Rolling,Limestone,Coating,Ferrous Metal,93.02,113.71,Mill Scale
Hot Rolling,Limestone,Finishing,Ferrous Metal,170.48,158.84,Steel Scrap
Cold Rolling,Alloy Additives,Melting,Flux Material,131.11,103.53,Waste Gas Sludge
Finishing & Grinding,Alloy Additives,Finishing,Flux Material,64.42,48.34,Steel Scrap
Cold Rolling,Coke,Refining,Ferrous Metal,53.85,66.53,Mill Scale
Cold Rolling,Zinc Coating Material,Coating,Flux Material,44.81,48.72,Pickling Sludge
Continuous Casting,Alloy Additives,Melting,Flux Material,86.11,101.2,Refractory Waste
Cold Rolling,Limestone,Melting,Non-Ferrous Metal,131.04,142.13,Mill Scale
Cold Rolling,Coke,Refining,Coating Material,108.14,135.97,Pickling Sludge
Electric Arc Furnace,Zinc Coating Material,Melting,Coating Material,43.66,32.03,EAF Dust
Continuous Casting,Zinc Coating Material,Rolling,Flux Material,130.88,98.57,Refractory Waste
Hot Rolling,Limestone,Refining,Coating Material,41.33,48.38,Waste Gas Sludge
Basic Oxygen Furnace,Iron Ore,Coating,Non-Ferrous Metal,109.03,123.49,Waste Gas Sludge
Forging,Limestone,Refining,Fuel/Reductant,55.41,34.45,Mill Scale
Galvanizing,Scrap Steel,Finishing,Flux Material,147.21,91.8,Pickling Sludge
Continuous Casting,Limestone,Rolling,Fuel/Reductant,73.67,46.21,Mill Scale
Hot Rolling,Limestone,Finishing,Fuel/Reductant,103.79,85.74,Mill Scale
Forging,Scrap Steel,Casting,Fuel/Reductant,111.27,131.05,Steel Scrap
Electric Arc Furnace,Scrap Steel,Coating,Flux Material,74.99,58.07,Waste Gas Sludge
Cold Rolling,Coke,Casting,Flux Material,62.16,80.76,Steel Scrap
Forging,Limestone,Finishing,Non-Ferrous Metal,89.56,100.64,Mill Scale
Hot Rolling,Alloy Additives,Casting,Non-Ferrous Metal,98.85,76.02,Steel Scrap
Basic Oxygen Furnace,Scrap Steel,Rolling,Ferrous Metal,96.78,85.92,Steel Scrap
Galvanizing,Iron Ore,Finishing,Flux Material,136.17,111.52,Blast Furnace Slag
Electric Arc Furnace,Alloy Additives,Finishing,Non-Ferrous Metal,65.4,49.86,Waste Gas Sludge
Basic Oxygen Furnace,Scrap Steel,Coating,Non-Ferrous Metal,142.13,168.56,Blast Furnace Slag
Continuous Casting,Scrap Steel,Finishing,Non-Ferrous Metal,109.53,108.91,Mill Scale
Basic Oxygen Furnace,Zinc Coating Material,Rolling,Flux Material,124.4,125.23,Waste Gas Sludge
Galvanizing,Coke,Refining,Ferrous Metal,97.36,109.99,Zinc Ash
Forging,Coke,Melting,Flux Material,165.09,125.5,Refractory Waste
Finishing & Grinding,Scrap Steel,Rolling,Non-Ferrous Metal,68.61,85.74,Mill Scale
Finishing & Grinding,Scrap Steel,Refining,Coating Material,77.84,58.24,Mill Scale
Basic Oxygen Furnace,Limestone,Finishing,Flux Material,106.62,137.2,Blast Furnace Slag
Cold Rolling,Limestone,Melting,Fuel/Reductant,131.52,133.52,Pickling Sludge
Electric Arc Furnace,Zinc Coating Material,Rolling,Flux Material,106.16,97.49,EAF Dust
Forging,Alloy Additives,Melting,Coating Material,134.94,169.91,Mill Scale
Finishing & Grinding,Limestone,Rolling,Ferrous Metal,134.05,127.38,Waste Gas Sludge
Basic Oxygen Furnace,Alloy Additives,Coating,Flux Material,131.26,104.05,Blast Furnace Slag
Electric Arc Furnace,Zinc Coating Material,Finishing,Ferrous Metal,129.58,135.43,EAF Dust
Galvanizing,Scrap Steel,Rolling,Flux Material,48.8,44.83,Pickling Sludge
Electric Arc Furnace,Limestone,Finishing,Non-Ferrous Metal,99.05,117.49,EAF Dust
Basic Oxygen Furnace,Zinc Coating Material,Finishing,Flux Material,105.08,124.7,Blast Furnace Slag
Finishing & Grinding,Zinc Coating Material,Refining,Non-Ferrous Metal,141.93,180.63,Mill Scale
Finishing & Grinding,Limestone,Melting,Coating Material,54.58,38.62,Mill Scale
Finishing & Grinding,Scrap Steel,Melting,Flux Material,247.91,196.82,Steel Scrap
Electric Arc Furnace,Limestone,Melting,Non-Ferrous Metal,90.51,76.79,Refractory Waste
Finishing & Grinding,Zinc Coating Material,Coating,Non-Ferrous Metal,115.36,71.78,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Finishing,Non-Ferrous Metal,59.31,72.16,Steel Scrap
Hot Rolling,Zinc Coating Material,Finishing,Non-Ferrous Metal,79.79,84.68,Mill Scale
Cold Rolling,Scrap Steel,Rolling,Coating Material,101.25,74.69,Pickling Sludge
Basic Oxygen Furnace,Scrap Steel,Rolling,Coating Material,73.39,58.75,Waste Gas Sludge
Hot Rolling,Limestone,Casting,Fuel/Reductant,95.73,114.22,Mill Scale
Continuous Casting,Coke,Refining,Ferrous Metal,87.7,73.2,Steel Scrap
Basic Oxygen Furnace,Coke,Refining,Fuel/Reductant,97.85,64.54,Blast Furnace Slag
Continuous Casting,Limestone,Refining,Coating Material,96.5,62.7,Mill Scale
Forging,Iron Ore,Melting,Fuel/Reductant,63.56,50.08,Blast Furnace Slag
Cold Rolling,Limestone,Finishing,Fuel/Reductant,62.23,44.63,Mill Scale
Cold Rolling,Alloy Additives,Rolling,Fuel/Reductant,37.56,31.11,Pickling Sludge
Electric Arc Furnace,Alloy Additives,Refining,Fuel/Reductant,69.52,53.03,Steel Scrap
Cold Rolling,Coke,Rolling,Ferrous Metal,72.09,77.27,Mill Scale
Basic Oxygen Furnace,Alloy Additives,Casting,Coating Material,65.92,49.27,Steel Scrap
Hot Rolling,Coke,Melting,Non-Ferrous Metal,72.16,86.97,Mill Scale
Finishing & Grinding,Limestone,Refining,Non-Ferrous Metal,97.42,64.09,Zinc Ash
Cold Rolling,Iron Ore,Rolling,Flux Material,33.26,38.67,Pickling Sludge
Finishing & Grinding,Scrap Steel,Melting,Ferrous Metal,79.75,80.27,Pickling Sludge
Electric Arc Furnace,Limestone,Coating,Ferrous Metal,49.8,39.42,EAF Dust
Finishing & Grinding,Alloy Additives,Coating,Flux Material,85.65,56.32,Steel Scrap
Galvanizing,Iron Ore,Melting,Flux Material,33.88,21.68,Zinc Ash
Forging,Iron Ore,Rolling,Non-Ferrous Metal,71.7,66.03,Steel Scrap
Electric Arc Furnace,Limestone,Refining,Non-Ferrous Metal,105.85,121.09,Waste Gas Sludge
Forging,Coke,Refining,Fuel/Reductant,158.1,129.6,Mill Scale
Cold Rolling,Iron Ore,Casting,Non-Ferrous Metal,136.62,167.04,Pickling Sludge
Cold Rolling,Iron Ore,Melting,Fuel/Reductant,89.98,66.28,Mill Scale
Galvanizing,Iron Ore,Casting,Coating Material,161.45,151.48,Zinc Ash
Continuous Casting,Alloy Additives,Coating,Non-Ferrous Metal,82.36,70.25,Mill Scale
Finishing & Grinding,Iron Ore,Coating,Fuel/Reductant,75.62,69.4,Pickling Sludge
Forging,Zinc Coating Material,Refining,Non-Ferrous Metal,128.48,88.42,Steel Scrap
Continuous Casting,Alloy Additives,Melting,Fuel/Reductant,94.7,89.28,Waste Gas Sludge
Electric Arc Furnace,Limestone,Coating,Fuel/Reductant,47.6,36.22,Steel Scrap
Basic Oxygen Furnace,Limestone,Rolling,Non-Ferrous Metal,29.96,20.94,Blast Furnace Slag
Forging,Iron Ore,Refining,Flux Material,119.72,87.36,Steel Scrap
Basic Oxygen Furnace,Scrap Steel,Rolling,Flux Material,56.51,66.57,Blast Furnace Slag
Electric Arc Furnace,Limestone,Rolling,Non-Ferrous Metal,61.94,77.36,Waste Gas Sludge
Galvanizing,Zinc Coating Material,Rolling,Ferrous Metal,87.43,75.38,Waste Gas Sludge
Galvanizing,Alloy Additives,Melting,Flux Material,101.9,87.35,Zinc Ash
Hot Rolling,Zinc Coating Material,Melting,Coating Material,89.22,103.24,Waste Gas Sludge
Electric Arc Furnace,Alloy Additives,Finishing,Flux Material,58.26,62.39,Waste Gas Sludge
Galvanizing,Limestone,Coating,Ferrous Metal,62.89,48.73,Zinc Ash
Basic Oxygen Furnace,Alloy Additives,Finishing,Non-Ferrous Metal,63.05,37.86,Blast Furnace Slag
Basic Oxygen Furnace,Zinc Coating Material,Rolling,Coating Material,96.02,108.04,Refractory Waste
Hot Rolling,Coke,Casting,Flux Material,99.11,91.26,Mill Scale
Electric Arc Furnace,Scrap Steel,Casting,Flux Material,61.95,77.1,Steel Scrap
Basic Oxygen Furnace,Limestone,Finishing,Coating Material,75.99,61.1,Steel Scrap
Cold Rolling,Limestone,Coating,Flux Material,63.66,59.05,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Rolling,Ferrous Metal,61.42,69.55,Blast Furnace Slag
Cold Rolling,Scrap Steel,Melting,Non-Ferrous Metal,83.41,84.9,Pickling Sludge
Finishing & Grinding,Iron Ore,Refining,Coating Material,67.56,48.61,Refractory Waste
Continuous Casting,Limestone,Casting,Fuel/Reductant,144.84,107.63,Steel Scrap
Cold Rolling,Iron Ore,Melting,Ferrous Metal,90.14,111.54,Steel Scrap
Galvanizing,Limestone,Coating,Flux Material,29.36,27.92,Pickling Sludge
Finishing & Grinding,Alloy Additives,Finishing,Coating Material,30.19,21.51,Pickling Sludge
Cold Rolling,Alloy Additives,Refining,Flux Material,162.65,148.72,Pickling Sludge
Finishing & Grinding,Coke,Casting,Ferrous Metal,66.23,52.77,Steel Scrap
Continuous Casting,Alloy Additives,Refining,Coating Material,97.32,84.26,Mill Scale
Continuous Casting,Iron Ore,Refining,Ferrous Metal,69.92,48.09,Mill Scale
Continuous Casting,Limestone,Casting,Flux Material,138.26,105.89,Mill Scale
Electric Arc Furnace,Zinc Coating Material,Casting,Flux Material,111.9,97.48,EAF Dust
Continuous Casting,Alloy Additives,Casting,Ferrous Metal,169.57,104.02,Blast Furnace Slag
Finishing & Grinding,Iron Ore,Rolling,Flux Material,88.55,67.66,Steel Scrap
Galvanizing,Zinc Coating Material,Finishing,Flux Material,140.18,87.06,Zinc Ash
Continuous Casting,Alloy Additives,Finishing,Fuel/Reductant,88.32,69.41,Mill Scale
Finishing & Grinding,Scrap Steel,Refining,Coating Material,94.33,101.4,Mill Scale
Finishing & Grinding,Coke,Melting,Flux Material,119.97,146.29,Steel Scrap
Hot Rolling,Coke,Refining,Ferrous Metal,69.75,55.4,Mill Scale
Basic Oxygen Furnace,Alloy Additives,Rolling,Non-Ferrous Metal,120.28,98.43,Blast Furnace Slag
Electric Arc Furnace,Zinc Coating Material,Casting,Fuel/Reductant,149.17,97.74,EAF Dust
Galvanizing,Limestone,Casting,Ferrous Metal,38.87,46.03,Zinc Ash
Finishing & Grinding,Alloy Additives,Melting,Non-Ferrous Metal,71.74,52.37,Mill Scale
Forging,Limestone,Casting,Non-Ferrous Metal,109.98,73.1,Mill Scale
Forging,Zinc Coating Material,Rolling,Non-Ferrous Metal,78.38,79.68,Mill Scale
Continuous Casting,Iron Ore,Casting,Fuel/Reductant,88.08,81.89,Blast Furnace Slag
Galvanizing,Scrap Steel,Coating,Fuel/Reductant,16.68,18.78,Zinc Ash
Cold Rolling,Limestone,Refining,Coating Material,102.78,120.48,Mill Scale
Continuous Casting,Iron Ore,Refining,Fuel/Reductant,151.7,96.92,Mill Scale
Cold Rolling,Alloy Additives,Casting,Fuel/Reductant,55.42,67.57,Mill Scale
Electric Arc Furnace,Scrap Steel,Refining,Flux Material,163.9,202.65,EAF Dust
Finishing & Grinding,Scrap Steel,Finishing,Flux Material,132.34,97.06,Steel Scrap
Hot Rolling,Scrap Steel,Melting,Flux Material,51.3,43.07,Mill Scale
Galvanizing,Alloy Additives,Rolling,Coating Material,136.58,152.21,Zinc Ash
Finishing & Grinding,Zinc Coating Material,Melting,Flux Material,76.09,60.99,Mill Scale
Cold Rolling,Iron Ore,Coating,Ferrous Metal,33.37,30.16,Pickling Sludge
Continuous Casting,Coke,Refining,Ferrous Metal,82.57,56.28,Mill Scale
Galvanizing,Scrap Steel,Casting,Flux Material,121.87,135.65,Zinc Ash
Hot Rolling,Zinc Coating Material,Refining,Ferrous Metal,88.83,111.22,Steel Scrap
Galvanizing,Coke,Finishing,Flux Material,94.78,116.47,Zinc Ash
Galvanizing,Scrap Steel,Coating,Coating Material,139.01,115.21,Zinc Ash
Continuous Casting,Alloy Additives,Casting,Flux Material,80.69,74.62,Refractory Waste
Continuous Casting,Scrap Steel,Refining,Non-Ferrous Metal,88.38,113.69,Steel Scrap
Basic Oxygen Furnace,Limestone,Rolling,Ferrous Metal,151.46,160.71,Blast Furnace Slag
Electric Arc Furnace,Limestone,Casting,Flux Material,108.36,72.85,Steel Scrap
Finishing & Grinding,Alloy Additives,Coating,Flux Material,94.54,118.82,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Refining,Non-Ferrous Metal,47.92,61.74,Steel Scrap
Hot Rolling,Iron Ore,Melting,Fuel/Reductant,33.46,21.31,Steel Scrap
Basic Oxygen Furnace,Scrap Steel,Rolling,Fuel/Reductant,57.83,53.24,Blast Furnace Slag
Electric Arc Furnace,Limestone,Melting,Flux Material,106.46,106.92,EAF Dust
Electric Arc Furnace,Scrap Steel,Melting,Coating Material,45.68,53.74,EAF Dust
Continuous Casting,Zinc Coating Material,Casting,Ferrous Metal,81.7,69.75,Mill Scale
Cold Rolling,Alloy Additives,Casting,Flux Material,141.67,117.55,Pickling Sludge
Hot Rolling,Alloy Additives,Coating,Ferrous Metal,41.47,31.3,Mill Scale
Electric Arc Furnace,Alloy Additives,Refining,Non-Ferrous Metal,18.68,21.78,Waste Gas Sludge
Electric Arc Furnace,Zinc Coating Material,Melting,Non-Ferrous Metal,71.14,57.79,Waste Gas Sludge
Finishing & Grinding,Coke,Finishing,Coating Material,133.22,91.0,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Casting,Fuel/Reductant,91.98,57.29,Blast Furnace Slag
Forging,Scrap Steel,Casting,Ferrous Metal,102.07,90.38,Steel Scrap
Finishing & Grinding,Coke,Finishing,Flux Material,102.24,101.58,Zinc Ash
Finishing & Grinding,Scrap Steel,Rolling,Flux Material,54.53,35.33,Steel Scrap
Finishing & Grinding,Iron Ore,Coating,Fuel/Reductant,55.05,69.19,Steel Scrap
Hot Rolling,Scrap Steel,Rolling,Flux Material,77.83,50.88,Mill Scale
Finishing & Grinding,Zinc Coating Material,Melting,Fuel/Reductant,113.16,133.93,Steel Scrap
Basic Oxygen Furnace,Scrap Steel,Refining,Fuel/Reductant,30.8,31.67,Blast Furnace Slag
Basic Oxygen Furnace,Zinc Coating Material,Refining,Ferrous Metal,44.83,38.04,Blast Furnace Slag
Hot Rolling,Alloy Additives,Rolling,Ferrous Metal,62.1,66.64,Mill Scale
Finishing & Grinding,Coke,Finishing,Coating Material,66.67,48.49,Mill Scale
Forging,Coke,Rolling,Coating Material,92.51,109.08,Refractory Waste
Cold Rolling,Iron Ore,Rolling,Ferrous Metal,81.71,99.32,Pickling Sludge
Hot Rolling,Zinc Coating Material,Refining,Ferrous Metal,67.47,51.41,Blast Furnace Slag
Finishing & Grinding,Zinc Coating Material,Melting,Non-Ferrous Metal,164.32,123.95,Steel Scrap
Continuous Casting,Coke,Coating,Coating Material,85.66,107.42,Mill Scale
Finishing & Grinding,Limestone,Refining,Flux Material,93.3,82.31,Mill Scale
Cold Rolling,Alloy Additives,Casting,Coating Material,112.21,109.06,Mill Scale
Electric Arc Furnace,Limestone,Melting,Fuel/Reductant,61.42,72.3,Steel Scrap
Finishing & Grinding,Limestone,Melting,Ferrous Metal,167.85,198.58,Steel Scrap
Cold Rolling,Zinc Coating Material,Refining,Fuel/Reductant,135.48,117.23,Pickling Sludge
Forging,Limestone,Melting,Coating Material,90.11,69.91,Mill Scale
Finishing & Grinding,Limestone,Coating,Non-Ferrous Metal,83.0,67.72,Mill Scale
Finishing & Grinding,Alloy Additives,Rolling,Coating Material,136.38,112.87,Mill Scale
Cold Rolling,Coke,Melting,Ferrous Metal,81.67,68.77,Mill Scale
Galvanizing,Coke,Finishing,Coating Material,100.88,117.4,Zinc Ash
Galvanizing,Limestone,Melting,Fuel/Reductant,80.46,63.25,Zinc Ash
Galvanizing,Scrap Steel,Finishing,Non-Ferrous Metal,107.43,66.4,Zinc Ash
Basic Oxygen Furnace,Zinc Coating Material,Melting,Flux Material,158.55,108.49,Blast Furnace Slag
Galvanizing,Scrap Steel,Rolling,Fuel/Reductant,129.25,93.94,Pickling Sludge
Cold Rolling,Scrap Steel,Finishing,Fuel/Reductant,46.68,45.86,Mill Scale
Forging,Alloy Additives,Rolling,Flux Material,107.12,76.29,Steel Scrap
